[FATAL] 2024/10/23 - 14:09:21 | [UNIQUE constraint failed: users.email] 
[FATAL] 2024/10/23 - 14:10:18 | [UNIQUE constraint failed: users.github_id] 
[FATAL] 2024/10/23 - 14:10:42 | [duplicate column name: created_at] 
[FATAL] 2024/10/29 - 21:30:48 | [near "-": syntax error] 
[FATAL] 2024/10/29 - 21:37:39 | [near "-": syntax error] 
[FATAL] 2024/10/29 - 21:38:40 | [near "-": syntax error] 
[FATAL] 2024/10/29 - 21:40:04 | [near "-": syntax error] 
[FATAL] 2024/10/30 - 10:24:01 | [near "=": syntax error] 
[FATAL] 2024/10/30 - 10:27:15 | [near "=": syntax error] 
[FATAL] 2024/10/30 - 10:28:19 | [near "=": syntax error] 
[FATAL] 2024/10/30 - 10:29:38 | [near "=": syntax error] 
[FATAL] 2024/10/30 - 10:29:48 | [near "=": syntax error] 
[FATAL] 2024/10/30 - 10:30:05 | [near "=": syntax error] 
[FATAL] 2024/10/30 - 10:30:41 | [near "=": syntax error] 
